ordem;codigo;descricao;codigoSuperior;nivel;isTotal;grupo
1;0001;ATIVO;;1;false;
2;0002;Ativo Circulante;0001;2;false;
3;0003;Disponibilidades;0002;3;false;
4;0004;Caixa;0003;4;false;
5;0005;Bancos Conta Movimento;0003;4;false;
6;0006;Aplicações Financeiras de Liquidez Imediata;0003;4;false;
7;0007;Contas a Receber;0002;3;false;
8;0008;Patrocinadores a Receber;0007;4;false;
9;0009;Direitos de Transmissão a Receber;0007;4;false;
10;0010;Repasses CBF a Receber;0007;4;false;
11;0011;Repasses FIFA a Receber;0007;4;false;
12;0012;Repasses CONMEBOL a Receber;0007;4;false;
13;0013;Bilheteria a Receber;0007;4;false;
14;0014;Licenciamento a Receber;0007;4;false;
15;0015;Outras Contas a Receber;0007;4;false;
16;0016;(-) Provisão para Créditos de Liquidação Duvidosa;0007;4;false;
17;0017;Estoques;0002;3;false;
18;0018;Materiais Esportivos;0017;4;false;
19;0019;Uniformes e Vestuário;0017;4;false;
20;0020;Troféus e Medalhas;0017;4;false;
21;0021;Materiais de Escritório;0017;4;false;
22;0022;Outros Materiais;0017;4;false;
23;0023;Despesas Antecipadas;0002;3;false;
24;0024;Seguros a Vencer;0023;4;false;
25;0025;Aluguéis Pagos Antecipadamente;0023;4;false;
26;0026;Assinaturas e Licenças a Vencer;0023;4;false;
27;0027;Outros Ativos Circulantes;0002;3;false;
28;0028;Adiantamentos a Fornecedores;0027;4;false;
29;0029;Adiantamentos a Funcionários;0027;4;false;
30;0030;Adiantamentos para Viagens;0027;4;false;
31;0031;Impostos a Recuperar;0027;4;false;
32;0032;Outros Créditos;0027;4;false;
33;0033;Ativo Não Circulante;0001;2;false;
34;0034;Realizável a Longo Prazo;0033;3;false;
35;0035;Contas a Receber de Longo Prazo;0034;4;false;
36;0036;Depósitos Judiciais;0034;4;false;
37;0037;Empréstimos a Clubes Filiados;0034;4;false;
38;0038;Outros Créditos de Longo Prazo;0034;4;false;
39;0039;Investimentos;0033;3;false;
40;0040;Participações em Outras Entidades;0039;4;false;
41;0041;Participações Societárias;0039;4;false;
42;0042;Obras de Arte;0039;4;false;
43;0043;Imobilizado;0033;3;false;
44;0044;Terrenos;0043;4;false;
45;0045;Edificações;0043;4;false;
46;0046;Sede Administrativa;0045;5;false;
47;0047;Centros de Treinamento;0045;5;false;
48;0048;(-) Depreciação Acumulada de Edificações;0045;5;false;
49;0049;Instalações Esportivas;0043;4;false;
50;0050;Campos de Futebol;0049;5;false;
51;0051;Arquibancadas e Tribunas;0049;5;false;
52;0052;Vestiários;0049;5;false;
53;0053;Sistema de Iluminação;0049;5;false;
54;0054;(-) Depreciação Acumulada de Instalações Esportivas;0049;5;false;
55;0055;Equipamentos;0043;4;false;
56;0056;Equipamentos de Informática;0055;5;false;
57;0057;Equipamentos de Comunicação;0055;5;false;
58;0058;Equipamentos Esportivos;0055;5;false;
59;0143;Maquinas e Equipamentos;0055;5;false;
60;0059;(-) Depreciação Acumulada de Equipamentos;0055;5;false;
61;0060;Veículos;0043;4;false;
62;0061;Veículos de Passeio;0060;5;false;
63;0062;Ônibus e Vans;0060;5;false;
64;0063;(-) Depreciação Acumulada de Veículos;0060;5;false;
65;0064;Móveis e Utensílios;0043;4;false;
66;0065;Móveis de Escritório;0064;5;false;
67;0066;Utensílios e Ferramentas;0064;5;false;
68;0067;(-) Depreciação Acumulada de Móveis e Utensílios;0064;5;false;
69;0068;Imobilizado em Andamento;0043;4;false;
70;0069;Intangível;0033;3;false;
71;0070;Marcas e Patentes;0069;4;false;
72;0071;Softwares;0069;4;false;
73;0072;Direitos de Imagem;0069;4;false;
74;0073;Direitos Federativos;0069;4;false;
75;0074;Outros Direitos;0069;4;false;
76;0075;(-) Amortização Acumulada;0069;4;false;
77;0076;PASSIVO;;1;false;
78;0077;Passivo Circulante;0076;2;false;
79;0078;Fornecedores;0077;3;false;
80;0079;Fornecedores Nacionais;0078;4;false;
81;0080;Fornecedores Internacionais;0078;4;false;
82;0081;Obrigações Trabalhistas e Previdenciárias;0077;3;false;
83;0082;Salários a Pagar;0081;4;false;
84;0083;INSS a Recolher;0081;4;false;
85;0084;FGTS a Recolher;0081;4;false;
86;0085;Contribuições Sindicais a Recolher;0081;4;false;
87;0086;Obrigações Tributárias;0077;3;false;
88;0087;PIS a Recolher;0086;4;false;
89;0088;COFINS a Recolher;0086;4;false;
90;0089;IRRF a Recolher;0086;4;false;
91;0090;ISS a Recolher;0086;4;false;
92;0091;Outros Tributos a Recolher;0086;4;false;
93;0092;Empréstimos e Financiamentos de Curto Prazo;0077;3;false;
94;0093;Empréstimos Bancários CP;0092;4;false;
95;0094;Financiamentos CP;0092;4;false;
96;0095;Juros a Pagar;0092;4;false;
97;0096;Contas a Pagar;0077;3;false;
98;0097;Comissões Técnicas a Pagar;0096;4;false;
99;0098;Arbitragem a Pagar;0096;4;false;
100;0099;Premiações a Pagar;0096;4;false;
101;0100;Direitos de Imagem a Pagar;0096;4;false;
102;0101;Aluguel a Pagar;0096;4;false;
103;0102;Energia Elétrica a Pagar;0096;4;false;
104;0103;Telefone e Internet a Pagar;0096;4;false;
105;0104;Outras Contas a Pagar;0096;4;false;
106;0105;Provisões de Curto Prazo;0077;3;false;
107;0106;Provisão para Férias;0105;4;false;
108;0107;Provisão para 13º Salário;0105;4;false;
109;0108;Provisão para Contingências CP;0105;4;false;
110;0109;Outras Obrigações Circulantes;0077;3;false;
111;0110;Adiantamentos de Clientes;0109;4;false;
112;0111;Dividendos a Pagar;0109;4;false;
113;0112;Outras Obrigações;0109;4;false;
114;0113;Passivo Não Circulante;0076;2;false;
115;0114;Empréstimos e Financiamentos de Longo Prazo;0113;3;false;
116;0115;Empréstimos Bancários LP;0114;4;false;
117;0116;Financiamentos LP;0114;4;false;
118;0117;Debêntures;0114;4;false;
119;0118;Provisões de Longo Prazo;0113;3;false;
120;0119;Provisão para Contingências Trabalhistas;0118;4;false;
121;0120;Provisão para Contingências Cíveis;0118;4;false;
122;0121;Provisão para Contingências Fiscais;0118;4;false;
123;0122;Outras Obrigações Não Circulantes;0113;3;false;
124;0123;Receitas Diferidas;0122;4;false;
125;0124;Outros Passivos de Longo Prazo;0122;4;false;
126;0125;Patrimônio Líquido;0076;2;false;
127;0126;Patrimônio Social;0125;3;false;
128;0127;Patrimônio Social;0126;4;false;
129;0128;(-) Patrimônio a Integralizar;0126;4;false;
130;0129;Reservas de Capital;0125;3;false;
131;0130;Doações e Subvenções para Investimento;0129;4;false;
132;0131;Incentivos Fiscais;0129;4;false;
133;0132;Outras Reservas de Capital;0129;4;false;
134;0133;Reservas de Lucros / Superávits;0125;3;false;
135;0134;Reserva Legal;0133;4;false;
136;0135;Reserva Estatutária;0133;4;false;
137;0136;Reserva para Contingências;0133;4;false;
138;0137;Reserva de Investimentos;0133;4;false;
139;0138;Reserva para Desenvolvimento do Futebol;0133;4;false;
140;0139;Outras Reservas de Lucros;0133;4;false;
141;0140;Ajustes de Avaliação Patrimonial;0125;3;false;
142;0141;Superávits/Déficits Acumulados;0125;3;false;
143;0142;Outros Resultados Abrangentes;0125;3;false;